id,created_at,screen_name,user_name,user_location,text
594173608508792833,Fri May 01 16:16:42 +0000 2015,zahnster,Jade Pennig,MN ✈︎ CA,#talkpay - an excuse for upper middle class SV techies to humblebrag about their salaries. k.
594173609477713920,Fri May 01 16:16:42 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",#talkpay http://t.co/qzP65S4Kfx
594173686292160513,Fri May 01 16:17:00 +0000 2015,_danilo,Danilo,City & County of San Francisco,"Happy international worker's day. Let's #talkpay, as suggested by @laurenvoswinkel:

https://t.co/AHFzJ4jKB6"
594173696060698624,Fri May 01 16:17:03 +0000 2015,Chzn8r,Aaron Ringgenberg,"San Francisco, CA, USA","Chose to leave Job #2 and pursue a DevOps team role, leading to current Job #3. DevOps Engineer @ SF startup, $115K (2014) #talkpay"
594173715283189760,Fri May 01 16:17:07 +0000 2015,languagehacker,Bob Elwell,"San Bruno, CA",Realizing my tongue-in-cheek #talkpay gifs are really a non-linear narrative of my life story: priceless
594173716046729216,Fri May 01 16:17:07 +0000 2015,paladique,Jasmine,Brooklyn ,"""This county pays people in tech lower than other counties"" GTFO. That's a statement, not an excuse. #talkpay"
594173745553477633,Fri May 01 16:17:14 +0000 2015,akalindsey,Lindsey Austinson,"Portland, OR","I went from $15/hour part time, still in school, in 2009 to $63k full time in 2012 working as a frontend developer. #talkpay"
594173746060996609,Fri May 01 16:17:14 +0000 2015,scrivs,Scrivs,Los Angeles,I like this #talkpay hashtag. People were always scared to talk salary with me at my jobs. It’s like black magic.
594173753053081601,Fri May 01 16:17:16 +0000 2015,TwightFinancial,Dana Twight,Seattle USA,#talkpay Price the #jobs and not the person in this story http://t.co/DMr6UH1O9w @justkelly_ok @casitareina via @jenamcgregor
594173754491547648,Fri May 01 16:17:16 +0000 2015,zspencer,Z,"Oakland, CA","#TalkPay we tech workers need to stand for living wages for support and administrative staff, security guards, teachers."
594173799265800192,Fri May 01 16:17:27 +0000 2015,cherrierandle,Cherrie Randle,"Cupertino, CA","My salary is somewhere in the range of high enough to #gentrify in SF, but low enough to #occupy #talkpay #blackintech #firstgen"
594173962084573186,Fri May 01 16:18:06 +0000 2015,calebthompson,Caleb Thompson,"Austin, TX","female/white/30's/frontend
atx bootcamp grad ~$63k
benefits+culture = good
thinks she makes less than male bootcamp grad coworker #talkpay"
594173977473327105,Fri May 01 16:18:10 +0000 2015,Chzn8r,Aaron Ringgenberg,"San Francisco, CA, USA","Thanks to @shanley for the reminder; all of my positions included standard equity package, w/ 1 bump at Job #2 around raise time #talkpay"
594174015679242242,Fri May 01 16:18:19 +0000 2015,SeeSarahCode,Sarah,"Chicago, IL USA","Previous gigs: $8/hr as library asst, $300/mnth as mentoring program mngr in grad school, $300/mnth as graduate instructor.  #talkpay"
594174038827634688,Fri May 01 16:18:24 +0000 2015,MouthyFool,Doug,Seattle,It’s a little out of date but: http://t.co/3vCxZqF8l4 https://t.co/RVZn3cVI1T #talkpay
594174065172156416,Fri May 01 16:18:31 +0000 2015,scottelundgren,Scott E Lundgren,"Charlotte, NC","@blakgrad @obversation @crowntownguy 
Tune into #talkpay. Markets are more efficient with equal information https://t.co/nTyb1cP33K"
594174067114020864,Fri May 01 16:18:31 +0000 2015,akalindsey,Lindsey Austinson,"Portland, OR","Since I've worked as a UX/product designer my salary has ranged from $70k to $100k, depending on if I'm full time or consulting #talkpay"
594174098202198017,Fri May 01 16:18:38 +0000 2015,othiym23,Forrest L Norvell,the outside lands,"#talkpay DM: ""$42k, marketing coordinator, no benefits. Last job was $37k but had benefits. Was laid off in July."""
594174139084210176,Fri May 01 16:18:48 +0000 2015,paulozoom,Paulo,Berlin,"Let’s #talkpay (http://t.co/b8p9oG1JxZ ).
Freelance remote web designer/developer, male, white.
— 2012: €15k
— 2013: €30k
— 2014: €30k"
594174257774530560,Fri May 01 16:19:16 +0000 2015,sixcircuit,Kendrick Taylor,"San Francisco, CA","I've always made less working for other people. A lot less. 

Tech Support: 15/hr vs 65/hr
Software: $100k/yr vs $300k/yr 

#talkpay"
594174295049248768,Fri May 01 16:19:25 +0000 2015,othiym23,Forrest L Norvell,the outside lands,"#talkpay DM ""server-side Java Developer, Denver, CO, $85k with 5 years experience."""
